nominal_mol_frac_X,mol_frac_X,rate,P1,P2,P3,P4,P5,ramp_direction,Assay,JAW
0.075,0.074571597,16,,520.6,779.6,,,heating,A,13
0.075,0.074571597,8,421.8,518,776.7,,,heating,A,13
0.075,0.074571597,4,418.2,517.7,777,,,heating,A,13
0.075,0.074571597,1.6,,517.5,775.3,,,heating,A,13
0.075,0.074571597,16,,505.8,758.9,,,cooling,A,13
0.075,0.074571597,8,388.5,512.7,761.5,,,cooling,A,13
0.075,0.074571597,4,393.1,515.3,763.5,,,cooling,A,13
0.075,0.074571597,1.6,383.8,516.8,771.2,,,cooling,A,13
0.175,0.17655726,16,430,523.4,706,,,heating,B,14
0.175,0.17655726,8,424,519.7,705,,,heating,B,14
0.175,0.17655726,4,419.2,516.6,704.7,,,heating,B,14
0.175,0.17655726,1.6,,517.8,705.8,,,heating,B,14
0.175,0.17655726,16,392.1,505.6,691.4,,,cooling,B,14
0.175,0.17655726,8,393.6,511.2,694.6,,,cooling,B,14
0.175,0.17655726,4,390.7,514,697.1,,,cooling,B,14
0.175,0.17655726,1.6,391.6,519.1,700.8,,,cooling,B,14
0.26,0.257923888,16,427.9,525,623.9,,,heating,C,15
0.26,0.257923888,8,424.7,520.9,623.3,,,heating,C,15
0.26,0.257923888,4,421,517.2,625.9,,,heating,C,15
0.26,0.257923888,1.6,418.5,517.9,,,,heating,C,15
0.26,0.257923888,16,386.7,502.1,600.1,,,cooling,C,15
0.26,0.257923888,8,388.2,508.4,608.3,,,cooling,C,15
0.26,0.257923888,4,392.4,511.3,613.4,,,cooling,C,15
0.26,0.257923888,1.6,393,513,615.5,,,cooling,C,15
0.35,0.343303725,16,425.9,,524.1,,,heating,D,16
0.35,0.343303725,8,421.2,,521.4,,,heating,D,16
0.35,0.343303725,4,414.9,494,519.9,,,heating,D,16
0.35,0.343303725,1.6,411.3,486.8,518.1,,,heating,D,16
0.35,0.343303725,16,381.6,,500.4,,,cooling,D,16
0.35,0.343303725,8,386.1,,502.1,,,cooling,D,16
0.35,0.343303725,4,385,,504.6,,,cooling,D,16
0.35,0.343303725,1.6,385.6,,509.8,,,cooling,D,16
0.575,0.581963897,16,,506.2,667.2,,,heating,F,18
0.575,0.581963897,8,484.6,507.6,674.9,,,heating,F,18
0.575,0.581963897,4,,505.6,656.3,,,heating,F,18
0.575,0.581963897,1.6,428.4,502.9,679.1,,,heating,F,18
0.575,0.581963897,16,372.7,495.6,649.8,,,cooling,F,18
0.575,0.581963897,8,376.6,499.2,662.9,,,cooling,F,18
0.575,0.581963897,4,380,500,664.9,,,cooling,F,18
0.575,0.581963897,1.6,,501.7,666,,,cooling,F,18
0.46,0.441544158,16,409.7,,523,581.5,,heating,E,19
0.46,0.441544158,8,404.6,478.1,518.8,603.8,,heating,E,19
0.46,0.441544158,4,399.8,472.7,517.3,595.9,,heating,E,19
0.46,0.441544158,1.6,399.7,465.9,517.8,605.4,,heating,E,19
0.46,0.441544158,16,373.3,509.3,572.3,589,,cooling,E,19
0.46,0.441544158,8,380.5,506.8,577.3,593.9,,cooling,E,19
0.46,0.441544158,4,380.9,510.1,577.1,601.1,,cooling,E,19
0.46,0.441544158,1.6,380.2,507.6,574.3,603.8,,cooling,E,19
0.46,0.441544157,16,,494.9,523.3,611.6,,heating,E,17
0.46,0.441544157,8,,486.7,518.6,604,,heating,E,17
0.46,0.441544157,4,399.8,482.8,518,603.1,,heating,E,17
0.46,0.441544157,1.6,422,478.1,517.5,605,,heating,E,17
0.46,0.441544157,16,372.9,506.6,579.9,,680.4,cooling,E,17
0.46,0.441544157,8,376.4,508.9,573.1,588,631.2,cooling,E,17
0.46,0.441544157,4,378.4,510.8,583,594.2,,cooling,E,17
0.46,0.441544157,1.6,381.6,507.7,579.6,603.3,624.7,cooling,E,17
